FECHA;PIGPA;PGASCO;PCAP;PBUPCL;REIGPA;RGASCO;RCAP;RBUPCL
11/04/2014 0:00;18936,36;5206;9126,3;465;-0,008619963;0,0412;0,034962577;-0,021052632
17/04/2014 0:00;19101,01;5000;8818;475;0,013805066;0,044059303;0,007978784;0,010831861
25/04/2014 0:00;18840,91;4789;8748,2;469,91;-0,021825122;0,16804878;0,026868405;0,009690589
02/05/2014 0:00;19261,29;4100;8519,3;465,4;0,005720107;-0,059633028;-0,003742121;-0,024175456
09/05/2014 0:00;19151,74;4360;8551,3;476,93;-0,011879585;-0,00433889;-0,017080656;-0,000146751
16/05/2014 0:00;19381,99;4379;8699,9;477;0,00233233;0,057729469;0,045598221;-0,006146474
23/05/2014 0:00;19336,89;4140;8320,5;479,95;0,012243097;0,017199017;0,050528389;-0,000104167
30/05/2014 0:00;19103,01;4070;7920,3;480;-0,005065554;0,07524041;-0,051767692;0,010526316
06/06/2014 0:00;19200,27;3785,2;8352,7;475;0,016620452;-0,001002903;0,050350213;0
13/06/2014 0:00;18886,37;3789;7952,3;475;-0,000930493;0,053963839;-0,015694817;0,00422833
20/06/2014 0:00;18903,96;3595;8079,1;473;0,000233868;-0,078205128;0,0115819;-0,034693878
27/06/2014 0:00;18899,54;3900;7986,6;490;-0,001370111;0,026315789;-0,012891026;0,010309278
04/07/2014 0:00;18925,47;3800;8090,9;485;-0,020296063;-0,025391126;0,000321452;0,000226856
11/07/2014 0:00;19317,54;3899;8088,3;484,89;0,005602314;-0,00025641;-0,001321151;0
18/07/2014 0:00;19209,92;3900;8099;484,89;0,005541231;0,007751938;0,003146056;0,005474339
25/07/2014 0:00;19104,06;3870;8073,6;482,25;0,002321113;-0,0325;0,022259363;0,0046875
01/08/2014 0:00;19059,82;4000;7897,8;480;0,002632329;-0,06323185;0,057354004;-0,004149378
08/08/2014 0:00;19009,78;4270;7469,4;482;-0,012108951;0,036407767;0,048439847;-0,006185567
14/08/2014 0:00;19242,79;4120;7124,3;485;0,000408111;-0,032841147;-0,00529167;0
22/08/2014 0:00;19234,94;4259,9;7162,2;485;-0,009670608;0,054796217;0,019356124;0
29/08/2014 0:00;19422,77;4038,6;7026,2;485;-0,01525029;-0,059697322;-0,00926409;-0,019805982
05/09/2014 0:00;19723,56;4295;7091,9;494,8;0,017100395;0,07375;0,041318552;-0,0104
12/09/2014 0:00;19391,95;4000;6810,5;500;-0,008233037;0,030901265;-0,00894936;0,020199959
17/09/2014 0:00;19552,93;3880,1;6872;490,1;0,011167721;-0,108022989;0,029112256;0,00018367
26/09/2014 0:00;19336,98;4350;6677,6;490,01;0,008767317;0,034482759;0,084061171;-0,01998
03/10/2014 0:00;19168,92;4205;6159,8;500;0,019001163;-0,044318182;0,061101445;0,002004008
10/10/2014 0:00;18811,48;4400;5805,1;499;0,016244588;0,044361634;0,022726872;0,006048387
17/10/2014 0:00;18510,78;4213,1;5676,1;496;-0,013471857;-0,042477273;0,005331208;0,008130081
24/10/2014 0:00;18763,56;4400;5646;492;-0,004201092;0,03286385;0,021512185;-0,016
30/10/2014 0:00;18842,72;4260;5527,1;500;-0,007567522;-0,09650053;0,175728568;0
07/11/2014 0:00;18986,4;4715;4701;500;-0,006426224;-0,057;0,099880677;-0,001996008
14/11/2014 0:00;19109,2;5000;4274,1;501;-0,016127737;-0,01415671;-0,020892035;0,002
21/11/2014 0:00;19422,44;5071,8;4365,3;500;-0,001818292;-0,001614173;0,045405561;-0,009842169
28/11/2014 0:00;19457,82;5080;4175,7;504,97;0,005157563;0,03631171;0,06360163;0,016036217
05/12/2014 0:00;19357,98;4902;3926;497;0,036590205;-0,029306931;0,440416789;-0,002008032
12/12/2014 0:00;18674,67;5050;2725,6;498;-0,000955996;-0,023154148;-0,000220087;-0,004
19/12/2014 0:00;18692,54;5169,7;2726,2;500;-0,001889158;-0,071867145;0,032651515;-3,99984E-05
26/12/2014 0:00;18727,92;5570;2640;500,02;-0,007539931;-0,039605497;-0,037515039;-0,009861386
02/01/2015 0:00;18870,2;5799,7;2742,9;505;0,014061286;-5,17241E-05;0,031320499;-0,003944773
09/01/2015 0:00;18608,54;5800;2659,6;507;0,012495865;0,076246498;0,183569935;0,003761631
16/01/2015 0:00;18378,88;5389,1;2247,1;505,1;-0,027235365;-0,028990991;0,163818106;-0,005708661
23/01/2015 0:00;18893,45;5550;1930,8;508;0,007043755;-0,034765822;0,24375161;-0,003921569
30/01/2015 0:00;18761,3;5749,9;1552,4;510;-0,023692549;-0,018118169;-0,378119617;-0,013539652
06/02/2015 0:00;19216,59;5856;2496,3;517;-0,007331143;-0,032242072;-0,173875633;0,009765625
13/02/2015 0:00;19358,51;6051,1;3021,7;512;-0,003720895;0,011044277;-0,088008934;-0,003891051
20/02/2015 0:00;19430,81;5985;3313,3;514;0,003778866;0,069055444;0,308260286;-0,009633911
27/02/2015 0:00;19357,66;5598,4;2532,6;519;0,010109623;0,054312618;-0,025660755;-0,010486177
06/03/2015 0:00;19163,92;5310;2599,3;524,5;0,024388393;0,040727529;0,098373125;-0,012241055
13/03/2015 0:00;18707,67;5102,2;2366,5;531;-0,012114328;0,014353877;0,030122318;-0,00595305
20/03/2015 0:00;18937,08;5030;2297,3;534,18;-0,001056069;0,026530612;-0,062517853;0,007886792
27/03/2015 0:00;18957,1;4900;2450,5;530;-0,017518928;0,040339703;0,136384715;0,0056926
02/04/2015 0:00;19295,13;4710;2156,4;527;-0,015175736;0,018378378;0,066732624;-0,001912843
10/04/2015 0:00;19592,46;4625;2021,5;528,01;0,003800026;-0,026315789;0,035869844;0,002182743
17/04/2015 0:00;19518,29;4750;1951,5;526,86;-0,011679108;-0,012740839;-0,176095584;-0,005924528
24/04/2015 0:00;19748,94;4811,3;2368,6;530;0,00629798;-0,018502652;0,085020614;3,77373E-05
30/04/2015 0:00;19625,34;4902;2183;529,98;-0,013114662;0,004220101;-0,210316886;0,00375
08/05/2015 0:00;19886,14;4881,4;2764,4;528;-0,002509509;-0,042862745;0,079464251;0,001707456
15/05/2015 0:00;19936,17;5100;2560,9;527,1;0,011035796;-0,007782101;0,085173101;-0,001704545
22/05/2015 0:00;19718,56;5140;2359,9;528;0,002866414;0,015549365;-0,041859521;0,003802281
29/05/2015 0:00;19662,2;5061,3;2463;526;0,017286766;-0,005443113;0,123477626;0
05/06/2015 0:00;19328,08;5089;2192,3;526;0,003006204;0,038571429;0,000776043;-0,013133208
12/06/2015 0:00;19270,15;4900;2190,6;533;0,016081594;0,006160164;-0,027005419;-0,001872659
19/06/2015 0:00;18965,16;4870;2251,4;534;0,002136888;0,014583333;-0,00172926;0,001688239
26/06/2015 0:00;18924,72;4800;2255,3;533,1;0,009176308;-0,042871386;0,040123599;-0,012594925
03/07/2015 0:00;18752,64;5015;2168,3;539,9;-0,007356701;0,037228542;0,074799247;0,002506731
10/07/2015 0:00;18891,62;4835;2017,4;538,55;-0,003483027;0,005197505;-0,008502482;0,010412758
17/07/2015 0:00;18957,65;4810;2034,7;533;0,013612753;-0,000207857;0,104554584;-0,009717035
24/07/2015 0:00;18703,05;4811;1842,1;538,23;-0,006927542;0,036853448;0,006447031;-0,004291925
31/07/2015 0:00;18833,52;4640;1830,3;540,55;0,002761204;0,036639857;-0,06368938;0,003676402
07/08/2015 0:00;18781,66;4476;1954,8;538,57;0,014459907;-0,033261339;0,051080761;0,004794776
14/08/2015 0:00;18513,95;4630;1859,8;536;0,022469651;-0,002155172;0,027343534;-0,005565863
21/08/2015 0:00;18107,09;4640;1810,3;539;-0,023667073;0,050724638;-0,080972688;0,007476636
28/08/2015 0:00;18546,02;4416;1969,8;535;-0,011214857;-0,003160271;0,059146145;0,001872659
31/08/2015 0:00;18756,37;4430;1859,8;534;0,00000;0;0;0
